When it happens.	Kung magkagayon.
His poetry was simple yet creative.	Ang kanyang mga tula ay simple ngunit malikhain.
His smartphone is charging in his office.	Naka-charge ang kanyang smartphone sa kanyang opisina.
His soldiers feared and respected him.	Kinakatakutan at nirerespeto siya ng kanyang mga sundalo.
His stomachaches has been more frequent.	Napapadalas ang pagsakit ng kanyang tiyan.
His sudden appearance surprised us all.	Nagulat kaming lahat sa kanyang biglang pagdating.
His theory is difficult to understand.	Ang kanyang teorya ay mahirip intindihin.
His words took her a minute to register.	isang minuto bago niya naintindihan ang mga sinabi.
Hit me up if you're looking for soundtracks.	Tawagan mo ako kung naghahanap ka ng mga ponograma.
Homo is the henus and the species is sapiens.	Ang Homo ang henus at ang sapiens ang species.
Honesty is not always the best policy.	Ang pagsasabi ng totoo ay hindi palaging mainam.
Honesty isn't always the best policy.	Ang honesty ay hindi laging best policy.
Hope for the future, focus on the present.	Hangarin mo ang bukas, mag pokus sa kasalukuyan.
Hopefully you won't be late in class tomorrow.	Huwag ka sana mahuli sa klase bukas.
Hopefully, we get there by sunset.	Sana, makarating tayo roon sa paglubog ng araw.
Horses are used to kill monsters.	Ginagamit ang mga kabayo para pumatay ng halimaw.
Hot water expands blood vessels.	Pinapalawak ng mainit na tubig ang mga daluyan ng dugo.
Hotels are cheaper in the off season.	Mas mura ang hotels kapag hindi nila panahon.
Houses were buried by the landslide.	Ang mga bahay ay natabunan sa gumuhong lupa.
How about February 28th around 3:00 pm?	Kung alas tres ng ika-28 ng Pebrero kaya?
How about going for a walk after lunch?	Maglakad kaya tayo pagkatapos mananghalian?
How about going for a walk after lunch?	Gusto mo maglakad tayo pagkatapos kumain ng tanghalian?
How about playing golf this afternoon?	Gusto mo maglaro tayo ng golf mamayang hapon?
How about watching a movie for once?	Kung manood kaya tayo ng pelikula ngayon?
How about we write a sci-fi series?	Paano kung magsulat tayo ng isang serye ng sci-fi?
How are you going to put that thing inside?	Paano mo ipapasok ang bagay na iyan sa loob?
How are you?	Kumusta ka?
I am fine, thank you.	Maayos naman po, salamat.
Your names were removed from the list.	Tinanggal sa listahan ang mga pangalan niyo.
How can he possibly administer the appropriate dosage?	Paano niya maibibigay ang angkop na dosis?
How can I get to the police station?	Paano ako makakarating sa police station?
How can I get to the police station?	Paano ako makakapunta sa estasyon ng pulis?
How can I learn to understand Japanese?	Paano ba ako matututo makaintindi ng Hapon?
How dare you blame me for her suicide?	Bakit mo isinisisi sa akin ang pagpapakamatay niya?
How did you get ink all over your skirt?	Paano namantsahan ng tinta ang iyong buong palda?
How did you get so good at backgammon?	Paano ka naging ganyan kagaling sa backgammon?
How did you go to the park?	Paano ka pumunta sa park?
By bus.	Sa pamamagitan ng bus.
How did you know his name wasn't Tom?	Paano mo nalaman na hindi Tom ang pangalan niya?
How did you spend your winter vacation?	Anong ginawa mo noong winter vacation?
How did you study when you were a student?	Paano ka nag-aral noong mag-aaral ka?
How did you study when you were still a student?	Paano ka nag-aral noong mag-aaral ka pa?
How difficult it would be to survive in a.	kung paano kahirap na mabuhay sa mundong katulad nun.
How do I find online coupon codes?	Paano ako makakahanap ng mga online coupon code?
How do I recover my account password?	Paano ko mababawi ang password ng account ko?
How do I recover my account password?	Paano ko mababawi ang password ng aking account?
How do you feel about his suggestion?	Anong nararamdaman mo tungkol sa suggestion niya?
How do you find the time to exercise?	Paano ka nakakahanap ng oras mag-exercise?
How do you pronounce "Wi-Fi" in French?	Paano mo ipronounce ang "Wi-Fi" sa French?
How do you pronounce "Wi-Fi" in French?	Paano mo ipronounce ang "Wi-Fi" sa Pranses?
How do you say "I love you" in French?	Paano mo sabihin ang "mahal kita" sa French?
How do you say "I love you" in French?	Paano mo sabihin ang "iniibig kita" sa Pranses?
How do you say "thank you" in Japanese?	Paano sabihin ang "salamat" sa Hapon?
How do you say "thank you" in Japanese?	Paano mo sabihin ang "salamat" sa Hapon?
How do you understand those ideas?	Paano mo naiintindihan ang mga ideya na iyan?
How does your opinion differ from his?	Paano nagkakaiba ang iyong opinyon sa akin?
How far is the next gas station?	Gaano kalayo ang sumusunod na estasyon ng gasolina?
How is the internet speed in the hotel?	Kumusta ang bilis ng internet sa hotel?
How long are you going to be in Boston?	Gaano ka katagal mananatili sa Boston?
How long does it take to travel to your place?	Gaano katagal maglakbay papunta sa inyong lugar?
How long has it been since the last time we met?	Gaano na katagal mula noong huli tayong nagkita?
How long has it been since we last met?	Gaano na kahaba ang lanahon mula nung huli tayong nagkita?
How long has it been since your divorce?	Gaano na katagal mula nung naghiwalay kayo?
How long have they been playing tennis?	Gaano na katagal sila naglalaro ng Tennis?
How long is he going to stay in Japan?	Gaano siya katagal mananatili sa Japan?
How long is the stopover in Bulacan?	Gaano katagal ang lugar kung saan pwede tumigil sa Bulacan?
How long is the travel in the Philippines?	Gaano kalayo ang biyahe sa Pilipinas?
How long will it take me to go to Diliman?	Gaano katagal bago makarating sa Diliman?
How long will it take to get to Japan?	Gaano katagal para dumating ito sa Japan?
How long will this cold weather go on?	Gaano pa katagal ang ganito kalamig na panahon?
How long will this cold weather last?	Gaano katagal kaya ang malamig na panahon?
How many books do you read per month?	Ilang libro ang binabasa mo bawat buwan?
How many books have you read this month?	Ilang libro ang nabasa mo ngayon buwan?
How many Chinese friends do you have?	Ilang Chinese na kaibigan ang mayroon ka?
How many cups of rice can you eat?	Ilang mangkok ng kanin ang kaya mong kainin?
How many drops of tears are needed to be prepared?	Ilang patak ng luha ang dapat ihanda?
How many eggs could you get yesterday?	Ilang itlog ang nakayanan mong makuha kahapon?
How many eggs were you able to get yesterday?	ilang itlog ang nakaya mong kuhanin kahapon?
How many floors does this hotel have?	Gaano karaming palapag ang mayroon sa hotel na ito?
How many hours a week do you work?	Gaano karaming oras sa isang linggo ka nagtatrabaho?
How many hours have passed since you came?	Ilang oras na ang dumaan mula nang dumating ka?
How many hours is the office open on Wednesday?	Ilang oras nakabukas ang opisina sa Miyerkules?
How many liters of gas are left in your tank?	Ilang litro ng gas ang natira sa tangke mo?
How many pieces of luggage am I allowed?	Gaano karaming bag ang pwede kong dalhin?
How many sentences do we still need?	Ilang pangungusap pa ang kailangan natin?
How many seventeen year old do you know?	Ilan ang kilala mong labimpitong taong gulang?
How many students are in each building?	Ilang studyante ang nasa bawat gusali?
How many times a year do you go skiing?	Ilang beses sa isang taon ka nagi-iski?
How much does a billion bitter gourd cost?	magkano ang isang bilyong ampalaya?
How much does a billion manila bean cost?	magkano ang isang bilyong sigarilyas?
How much does a billion whale shark cost?	magkano ang isang bilyong butanding?
How much does a kilo of bitter gourd cost?	magkano ang isang kilo ng ampalaya?
How much does a kilo of manila bean cost?	magkano ang isang kilo ng sigarilyas?
How much does a kilo of whale shark cost?	magkano ang isang kilo ng butanding?
How much does a million bitter gourd cost?	magkano ang isang milyong ampalaya?
How much does a million manila bean cost?	magkano ang isang milyong sigarilyas?
How much does a million whale shark cost?	magkano ang isang milyong butanding?
How much does a thousand bitter gourd cost?	magkano ang isang libong ampalaya?
How much does a thousand manila bean cost?	magkano ang isang libong sigarilyas?
How much does a thousand whale shark cost?	magkano ang isang libong butanding?
How much does one billion bitter gourd cost?	magkano ang isang bilyong ampalaya?
How much does one billion manila bean cost?	magkano ang isang bilyong sigarilyas?
How much does one billion starfruit cost?	magkano ang isang bilyong balimbing?
How much does one billion whale shark cost?	magkano ang isang bilyong butanding?
How much does one hundred bitter gourd cost?	magkano ang isang daang ampalaya?
How much does one hundred manila bean cost?	magkano ang isang daang sigarilyas?
How much does one hundred whale shark cost?	magkano ang isang daang butanding?
How much does one million bitter gourd cost?	magkano ang isang milyong ampalaya?
How much does one million manila bean cost?	magkano ang isang milyong sigarilyas?
How much does one million starfruit cost?	magkano ang isang milyong balimbing?
How much does one million whale shark cost?	magkano ang isang milyong butanding?
How much is eight kilos of manila bean?	magkano ang walong kilo ng sigarilyas?
How much is four kilos of manila bean?	magkano ang apat na kilo ng sigarilyas?
How much is nine kilos of bitter gourd?	magkano ang siyam an kilo ng ampalaya?
How much is nine kilos of manila bean?	magkano ang siyam an kilo ng sigarilyas?
How much is nine kilos of whale shark?	magkano ang siyam an kilo ng butanding?
How much is one and a half kilos of rice?	Magkano isa't kalahating kilong bigas?
How much is seven kilos of manila bean?	magkano ang pitong kilo ng sigarilyas?
How much is the change you are going to do?	Gaano kalaki ang gagawin mong pagbabago?
How much is the fare from Atlanta to Japan?	Magkano ang pamasahe galing Atlanta papuntang Japan?
How much is three kilos of bitter gourd?	magkano ang tatlong kilo ng ampalaya?
How much is three kilos of manila bean?	magkano ang tatlong kilo ng sigarilyas?
How much is three kilos of whale shark?	magkano ang tatlong kilo ng butanding?
How much is two and a half kilos of rice?	Magakano dalawa't kalahating kilong bigas?
How much is two kilos of manila bean?	magkano ang dalawang kilo ng sigarilyas?
How much longer until the class ends?	Gaano katagal ba bago matapos ang klase?
How much longer will I have to stay in the hospital?	Gaano katagal pa ako dito sa ospital?
How much longer will it take for the tub to fill?	Gaano pa katagal bago mapuno ang tub?
How much longer will the thunderstorm last?	Gaano pa katagal ang bagyo?
In order to be a scientist, he studied well.	Para maging dalub-agham, nag-aral siya nang mabuti.
How much money did you spend on your last holiday?	gaano karami ang ginastos mo bakasyon?
How much should I allow for travel expenses?	Magkano ang ilalagay ko para sa gastusin panglakbay?
How much time do you spend with your spouse?	Gaano katagal kayong nagkakasama ng asawa mo?
How much will it cost you to go by air?	Magkano ang aabutin kung pupunta gamit ang eroplano?
How much will it cost you to go by water?	Magkano ang aabutin kung pupunta gamit ang barko?
How much would you want to pay for the tour?	Magkano ang gusto mong bayaran para sa paglilibot?
How much yen would you like to change?	Magkano ang halaga nang yen ang ipagpapalit mo?
How now, Hermit, is it too soon?	papaano na ngayon Hermit, masyado bang maaga?
How old are you and why are you here?	Ilang taon ka na ba at bakit ka nandito?
How shall we deal with this problem?	Paano natin malulutas ang problem na ito?
How shall we deal with this problem?	Paano natin malulutas ang problem na 'to?
How will I understand what you want?	Paano ko maiintindihan ang kagustuhan mo?
How would I know the answers if you do not?	Paano ko malalaman ang mga sagot kung hindi mo alam?
How would you evaluate the quality of our catch?	Paano mo tatasahin ang kalidad ng ating huli?
How would you feel if I told you I love you?	Ano ang mararamdaman mo kung sabihin kong maha kita?
How would you know if he's the one for you?	Paano mo malalaman kung siya ang para sa iyo?
How you feel matters to me more.	Ang nararamdaman mo ang mas mahalaga sa akin.
Howard and Bernadette are going to have a baby.	Si Howard at Bernadette ay magkakaroon ng anak.
However, it is not the capital city of the country.	Datapwat hindi ito ang kabisera ng bansa.
However, only 2,000 were hired on the spot.	Gayunpaman, 2,000 lamang ang agarang tinanggap.
However, this does not mean advancing.	Gayunpaman, hindi ito nangangahulugang pagsulong.
How're you guys spending your holidays?	papaano mo ginugugol ang iyong bakasyon?
Human brain is making new cells.	Ang utak ng tao ay gumagawa ng mga bagong cell.
Hurry up, or you will miss the train.	Bilisan mo, kung hindi hindi mo maaabutan ang tren.
Hurry up, or you'll be late for school.	Bilisan mo, kung hindi malelate ka sa school.
Hurry up, or you'll be late for school.	Bilisan mo, kung hindi mahuhuli ka sa eskwelahan.
I accepted a present from his sister.	Tinanggap ko ang regalo galing sa kapatid niyang babae.
I adjusted the telescope to my vision.	Sinakto ko ang telescope sa aking paningin.
I adjusted the telescope to my vision.	Inayos ko ang telescope ayon sa aking paningin.
I advertised my house in the newspaper.	Inadvertise ko ang bahay ko sa dyaryo.
I advise them to quit cigarettes.	Pinayuhan ko sila na tumigil sa paninigarilyo.
I advised her to catch a morning train.	Pinayuhan ko siya na sakyan ang pang-umagang tren.
I agree with your opinion about taxes.	Sang-ayon ako sa opinyon mo ukol sa buwis.
I agree with your opinion about taxes.	Sumasang-ayon ako sa opinyon mo tungkol sa buwis.
I allow a new member to enter.	Pinapayagan ko ang isang bagong miyembro na pumasok.
I almost drove the car off the bridge.	Muntikan na ako magmaneho ng kotse paalis sa isang tulay.
I almost left my umbrella in the train.	Muntikan ko nang maiwan ang payong ko sa tren.
I almost left my umbrella on the train.	Kamuntik ko nang nalimutan ang payong ko sa tren.
I almost left my umbrella on the train.	Muntikan ko nang maiwan ang payong ko habang na sa tren.
I already do not know where we are going.	Hindi ko na alam kung saan tayo patungo.
I already have enough coffee for today.	Nakapag kape na ako ng sapat ngayong araw.
